iter	RMSE
0	72229.86494
1	68007.5198
2	64025.05073
3	60299.62098
4	57396.03276
5	54320.03242
6	51520.5544
7	49056.75449
8	46530.80056
9	44531.32363
10	42738.06821
11	41212.05659
12	39731.38096
13	38390.78424
14	37201.28112
15	36058.37124
16	34945.87378
17	33948.58497
18	33085.14989
19	32278.00375
20	31360.3389
21	30661.38035
22	29973.97432
23	29353.79098
24	28671.51349
25	28152.29441
26	27718.39355
27	27200.68875
28	26805.05413
29	26433.24727
30	26115.90687
31	25811.65997
32	25426.17342
33	25087.41312
34	24775.84365
35	24453.89158
36	24195.04176
37	23913.83569
38	23732.72579
39	23506.96598
40	23361.63894
41	23203.25625
42	22973.24552
43	22823.65491
44	22666.84404
45	22534.14174
46	22460.36935
47	22297.03935
48	22130.98524
49	22027.48822
50	21878.91353
51	21725.97258
52	21607.52303
53	21464.72558
54	21343.19175
55	21214.25249
56	21057.84865
57	20982.64769
58	20866.57182
59	20799.01416
60	20708.26607
61	20646.51379
62	20566.76542
63	20495.85273
64	20381.90671
65	20269.71756
66	20160.49024
67	20082.92948
68	19996.41209
69	19894.01426
70	19803.85736
71	19731.04292
72	19694.24523
73	19538.36716
74	19451.83074
75	19394.23361
76	19305.68866
77	19195.08078
78	19112.69383
79	19018.21111
80	18944.45835
81	18853.02922
82	18745.49749
83	18628.5185
84	18550.94098
85	18472.64167
86	18359.25163
87	18297.784
88	18186.87519
89	18091.94693
90	17998.89248
91	17956.7475
92	17884.38443
93	17839.5791
94	17758.93837
95	17727.20186
96	17671.27244
97	17638.54857
98	17583.20453
99	17536.60992
