iter	Passed	Remaining
0	2	263
1	4	242
2	7	227
3	8	215
4	10	201
5	12	190
6	13	182
7	15	176
8	16	171
9	18	166
10	20	162
11	21	158
12	23	156
13	24	153
14	26	147
15	27	145
16	29	143
17	30	140
18	32	138
19	34	136
20	35	134
21	37	132
22	39	132
23	41	131
24	43	129
25	44	127
26	46	125
27	48	124
28	50	123
29	51	121
30	53	119
31	54	116
32	56	114
33	58	112
34	59	110
35	61	108
36	62	106
37	64	104
38	65	102
39	67	101
40	69	100
41	71	98
42	72	96
43	74	94
44	76	92
45	77	91
46	78	88
47	80	87
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	89	76
54	91	74
55	92	72
56	94	71
57	95	69
58	97	67
59	99	66
60	100	64
61	102	62
62	103	61
63	105	59
64	106	57
65	108	55
66	110	54
67	111	52
68	113	50
69	114	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	126	37
77	127	36
78	129	34
79	130	32
80	132	31
81	134	29
82	135	27
83	137	26
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	146	16
90	148	14
91	149	13
92	151	11
93	152	9
94	154	8
95	155	6
96	157	4
97	158	3
98	160	1
99	161	0
